income;expenses;gender;cars;satisfaction
2276;236;male;1;yes
1896;226;female;0;no
1084;184;female;1;no
3100;354;male;1;no
4348;406;male;1;yes
2250;280;male;0;no
1118;200;male;0;no
3976;452;female;1;no
2134;236;male;1;no
1422;188;female;1;no
2620;224;male;1;no
2730;268;female;2;yes
2454;290;male;1;yes
1828;298;male;0;no
3880;366;male;2;yes
3372;374;male;0;yes
2676;294;male;0;yes
1746;288;female;1;no
1220;200;male;0;no
920;258;male;0;no
2004;396;male;0;yes
1954;108;male;0;no
2298;340;female;1;no
2256;294;female;0;yes
4148;384;male;1;yes
1624;156;male;0;yes
2500;320;female;1;yes
2970;312;male;1;no
2748;370;male;1;yes
2978;370;male;1;yes
2272;222;male;0;no
2326;342;male;1;no
1558;208;male;0;no
1960;206;male;0;no
2362;396;male;0;no
2736;392;male;1;yes
2332;320;female;0;no
1446;166;male;0;no
2770;276;male;1;yes
4504;508;female;1;yes
2942;190;female;1;yes
2664;248;male;0;yes
1228;212;male;0;no
3024;390;female;1;yes
1600;236;male;0;no
1580;264;male;0;yes
2126;372;male;1;yes
4654;442;male;2;yes
6062;456;male;2;yes
2404;280;female;1;yes
1676;232;male;0;no
2132;264;male;1;no
3154;416;female;1;no
2246;312;female;1;no
1934;192;male;0;no
3372;326;male;0;no
1592;158;male;0;yes
5420;704;male;2;yes
1358;148;male;1;yes
2404;320;male;1;yes
2350;360;male;1;no
2954;204;male;2;yes
1118;202;male;0;no
1654;144;male;1;no
3286;436;male;1;yes
3102;284;male;1;yes
1600;204;male;0;no
1908;292;male;1;no
1776;206;male;0;yes
1654;278;male;0;no
1672;236;female;0;no
2196;240;male;0;yes
1528;372;male;0;yes
2060;350;male;0;yes
2318;230;male;1;no
3918;604;male;1;yes
1850;208;male;0;yes
2200;282;male;1;yes
3018;358;male;0;yes
1224;154;male;0;no
4914;470;male;2;yes
1336;192;female;0;yes
1162;136;male;1;no
1436;168;male;1;no
2372;258;male;0;no
2544;262;male;1;no
2336;168;male;0;no
1398;242;female;0;no
2554;318;male;0;no
2510;248;female;0;no
1924;336;male;1;no
3582;402;male;1;yes
1350;186;male;0;no
2424;218;male;0;no
3418;438;male;0;no
3284;294;male;1;yes
2724;290;female;1;yes
2184;194;male;1;no
1608;194;female;0;yes
1546;194;female;1;no
1584;132;male;1;yes
2138;172;male;0;no
1612;230;male;0;no
2406;240;female;1;no
2256;348;female;1;no
1850;266;female;1;no
1708;120;male;0;no
2268;172;male;1;no
2854;240;female;1;yes
1694;184;female;1;no
2600;296;male;1;yes
2380;244;female;0;yes
2770;326;male;1;yes
1542;164;female;1;yes
2370;182;male;0;yes
1108;220;male;1;no
2012;108;male;1;yes
2016;304;male;0;no
968;260;female;0;no
3166;364;female;1;no
1292;170;male;1;no
1754;332;male;0;no
2314;300;male;1;no
2352;262;male;0;no
2256;284;female;1;no
2790;412;male;1;yes
2604;358;female;0;no
1928;286;female;1;no
1106;154;male;0;yes
1872;242;female;1;no
3386;344;male;1;yes
2788;260;male;1;yes
1742;162;male;1;no
932;120;female;0;no
2438;202;male;1;yes
1546;166;male;0;no
1820;164;male;1;yes
2646;280;female;1;yes
1732;120;male;0;yes
1988;288;female;1;no
2284;246;male;1;no
1522;194;male;1;no
1756;178;male;0;no
1654;198;female;1;no
2860;372;female;1;no
3848;342;male;0;yes
2252;296;female;0;no
1722;312;male;0;no
1844;244;male;0;no
2288;310;male;0;no
2224;226;male;0;yes
1888;198;female;1;no
2368;322;male;0;no
2870;276;male;2;yes
2792;276;female;1;yes
1450;172;male;0;no
2536;248;male;1;yes
2130;298;male;1;no
2196;176;male;0;no
1398;228;male;1;no
1412;214;male;0;no
1992;180;male;0;no
1772;182;female;0;no
3142;318;female;1;yes
998;166;female;0;no
1646;276;female;0;no
2496;212;female;1;no
2174;256;male;1;no
2528;318;female;0;yes
1204;202;male;0;no
3378;296;male;1;yes
1382;118;male;0;no
2892;346;male;0;yes
2406;402;male;1;yes
3058;316;male;1;no
2114;266;male;0;no
2428;298;male;0;no
1782;192;female;1;no
1328;300;male;0;no
3990;428;male;0;yes
2668;384;female;1;no
3438;290;male;0;yes
2612;276;male;1;no
3380;356;female;1;yes
2130;286;male;0;yes
2264;262;male;1;no
2660;432;male;0;yes
1960;272;male;1;no
992;208;female;0;no
2092;304;male;1;yes
2910;394;male;1;yes
1396;154;male;0;no
2682;228;female;0;no
1096;194;male;0;no
1494;284;female;1;yes
1598;232;male;0;no
2000;288;female;1;no
3288;414;male;0;no
1868;272;female;0;no
3678;380;male;0;yes
2660;332;male;1;yes
3146;282;male;1;no
1806;104;male;1;no
1698;272;male;0;no
1786;246;male;0;no
2162;246;male;1;no
2234;278;male;1;no
2236;230;male;0;no
2902;380;male;1;no
2018;258;male;1;no
2632;364;male;0;yes
3222;428;female;1;yes
3034;244;male;1;no
3564;408;male;1;yes
1596;188;male;1;yes
1628;218;male;1;no
2334;438;female;1;no
1698;174;male;0;no
1732;286;male;0;no
2238;266;male;1;yes
1208;146;male;0;no
1678;222;female;1;no
2822;286;male;0;yes
2910;246;male;0;no
1414;152;male;0;no
2452;334;male;1;yes
1738;148;male;0;no
1706;148;male;0;yes
2088;274;male;0;no
4978;546;female;2;yes
2156;350;male;0;yes
1986;198;female;0;no
4490;408;male;2;yes
2366;292;male;1;no
2116;282;male;1;no
2096;302;male;0;yes
2266;262;male;1;yes
1672;250;male;0;no
3276;344;male;1;no
1812;196;male;0;no
2920;316;female;0;no
2436;312;female;1;no
1986;160;male;1;yes
1976;116;female;0;no
5056;448;male;2;yes
1748;198;male;0;no
3406;316;male;1;yes
1146;167;male;1;no
1406;148;male;1;no
3308;438;female;1;yes
2384;208;male;0;yes
2820;294;male;0;no
2056;270;male;1;yes
2682;302;female;1;yes
2072;158;male;0;no
1954;238;male;0;no
2206;238;male;1;no
3884;364;female;0;yes
1414;152;male;1;no
3910;426;male;2;yes
1924;242;male;1;yes
1280;104;female;1;no
1802;156;female;1;yes
2048;236;male;1;no
1300;216;female;1;no
2780;232;male;1;no
1602;116;male;0;no
1170;108;male;0;no
2608;392;female;1;yes
1622;198;male;0;no
4508;470;male;2;yes
2834;382;male;1;no
2428;270;male;0;yes
1956;112;male;0;yes
1162;356;female;0;no
2402;210;male;1;no
1042;193;male;0;no
3136;426;male;1;yes
2060;226;male;1;no
3410;410;female;2;yes
2240;204;male;1;no
1240;196;male;0;no
2578;408;female;1;no
1650;198;male;0;no
3160;380;female;1;yes
1816;152;female;1;no
2672;292;female;1;yes
3270;316;male;2;yes
1482;176;male;0;yes
2896;288;male;0;yes
1300;190;male;0;no
2200;120;female;1;no
1436;300;male;0;no
1864;366;male;0;no
2652;274;male;0;yes
1848;254;male;1;no
1332;274;male;0;no
1166;118;male;0;no
2836;362;male;1;no
2212;386;male;1;no
2422;248;male;1;yes
2070;330;male;0;yes
4028;466;male;1;yes
3122;368;male;1;yes
1778;198;male;0;no
2300;214;male;1;yes
3832;392;female;2;yes
2194;148;female;1;yes
2060;116;male;0;yes
1622;240;male;0;yes
1732;240;male;0;no
2576;304;male;0;yes
1974;292;male;0;yes
2516;316;male;1;yes
1744;134;male;0;yes
4868;402;male;2;yes
3984;410;male;0;yes
4676;480;male;1;yes
1866;118;male;1;no
998;110;male;0;no
938;178;male;0;no
3456;256;male;1;yes
1122;244;male;0;no
1266;202;male;0;no
1232;184;female;0;no
1794;156;male;0;no
4106;368;female;2;yes
1126;156;male;1;no
2960;328;male;0;yes
3034;248;male;1;no
2296;278;male;0;no
2650;366;female;0;no
2506;290;male;1;yes
1284;112;male;0;no
3012;428;male;1;no
1806;138;male;1;yes
2122;322;male;1;no
3952;348;male;1;no
888;190;male;0;no
2434;250;female;0;yes
1850;298;male;0;yes
1826;220;male;0;no
2180;218;male;0;no
2184;254;female;0;no
3180;326;female;1;no
2654;254;male;1;yes
1318;286;male;0;no
3698;472;male;2;yes
2234;214;male;1;yes
872;150;female;1;no
2038;206;male;1;no
2142;306;male;0;no
2792;302;male;1;yes
1374;184;male;0;yes
2420;192;male;1;yes
2386;220;male;1;yes
2068;240;male;0;no
2496;258;male;0;yes
2544;302;male;1;no
3226;336;male;1;yes
3146;464;male;1;yes
3204;334;male;1;yes
2174;190;male;1;no
2468;270;male;1;yes
1374;212;male;0;no
1500;208;male;0;no
1268;134;male;0;no
1886;306;male;1;no
2774;342;male;1;no
1846;260;male;0;no
1954;182;female;0;no
776;176;male;1;no
2754;382;female;0;yes
3852;416;male;2;no
1644;132;female;0;no
1766;188;female;1;no
1894;286;male;0;no
2294;224;male;1;no
2144;302;male;1;yes
2436;278;male;0;no
1480;234;male;0;no
1782;204;male;1;yes
1380;286;male;0;no
1772;264;female;1;no
2306;288;male;0;yes
1050;140;male;0;no
1390;166;female;0;no
888;142;female;0;yes
1132;228;male;1;no
1614;208;male;0;no
2134;318;female;1;yes
2016;340;male;1;yes
3730;296;male;1;no
3936;350;male;1;yes
2688;204;male;0;yes
2210;222;male;0;no
1986;264;male;1;no
3718;410;male;1;yes
1734;214;female;1;yes
2550;376;female;1;no
3536;388;female;2;yes
2308;288;female;0;yes
1244;166;female;1;yes
1848;168;male;1;no
1192;134;female;1;yes
3606;366;male;1;no
2418;264;male;0;yes
1614;148;male;1;no
3070;378;male;0;yes
1790;252;male;1;yes
1622;232;male;1;no
2784;236;male;0;yes
1538;254;male;0;no
1798;202;female;0;yes
2360;292;male;1;yes
1878;178;male;1;no
2056;304;male;1;yes
1446;260;male;1;no
2762;320;male;0;yes
2990;314;female;1;yes
1562;124;male;0;no
3586;426;male;1;no
1802;170;male;0;no
3010;416;male;0;yes
2602;434;male;0;no
1236;160;male;1;no
1396;138;male;1;yes
1786;206;male;0;no
2310;226;female;1;no
2798;254;male;1;no
1242;218;female;1;no
1494;216;male;1;yes
2812;306;male;1;no
1144;160;male;1;yes
3046;214;female;1;no
1506;252;male;1;no
2470;438;male;0;yes
1474;234;female;1;no
2394;290;male;0;no
2122;316;male;0;no
1888;244;female;0;yes
1352;182;female;0;no
1758;160;male;0;yes
3416;328;male;1;yes
3490;384;male;1;yes
1612;186;male;0;no
2786;268;male;0;yes
4458;436;female;2;yes
1574;200;male;0;no
948;184;male;0;no
1190;104;male;0;no
2474;182;male;0;no
1938;208;female;0;yes
4182;462;male;2;yes
1872;190;female;0;no
3412;270;male;1;yes
3174;330;female;1;yes
2040;302;male;1;yes
4198;498;male;1;yes
2620;316;female;1;no
2096;210;female;1;yes
2030;136;male;0;no
1490;266;female;0;no
2078;296;male;0;no
1334;122;female;0;no
2274;206;male;0;no
2682;142;male;1;no
1770;104;male;0;no
2284;352;male;1;no
1048;142;male;0;no
2446;238;male;0;yes
1272;116;male;1;no
1092;172;male;1;no
2050;230;male;0;no
1696;230;male;0;no
2326;214;male;0;yes
2540;274;male;1;yes
918;116;female;0;no
3230;424;male;1;no
4080;478;male;1;yes
2032;220;male;0;no
2154;192;male;1;no
2218;372;female;1;yes
3436;398;female;1;no
2622;274;male;0;yes
3200;484;female;1;yes
1590;128;male;0;no
2320;276;female;0;yes
4364;520;male;2;yes
2934;402;male;1;yes
1522;316;male;0;no
2534;258;male;1;yes
1804;212;male;1;no
2948;380;female;1;yes
1630;224;female;0;no
1762;210;female;0;no
2642;360;male;1;no
2864;334;male;2;yes
1544;182;male;0;no
1796;178;male;0;yes
